1|Capital Construction Costs
1.01|Demolition, site preparation and formation
1.01.010|Site survey and investigation
1.01.020|Environmental treatment
1.01.030|Sampling for construction, geophysical, geological or similar purposes
1.01.040|Temporary fencing
1.01.050|Demolition of existing buildings and support to adjacent structures
1.01.060|Site surface clearance (clearing, grubbing, topsoil stripping, tree felling, minor earthwork, removal)
1.01.070|Tree transplant
1.01.080|Site formation and slope treatment
1.01.090|Temporary surface drainage and dewatering
1.01.100|Temporary protection, diversion and relocation of public utilities
1.02|Substructure
1.02.010|Foundation piling and underpinning:
1.02.010.010|- mobilisation and demobilisation
1.02.010.020|- trial piles and caisson
1.02.010.030|- permanent piles and caisson
1.02.010.040|- pile and caisson testing
1.02.010.050|- underpinning
1.02.020|Foundations up to top of lowest floor slabs:
1.02.020.010|- excavation and disposal
1.02.020.020|- lateral supports
1.02.020.030|- raft footings, pile caps, column bases, wall footings, strap beams, tie beams
1.02.020.040|- substructure walls and columns
1.02.020.050|- lowest floor slabs and beams (excluding basement bottom slabs)
1.02.020.060|- lift pits
1.02.030|Basement sides and bottom:
1.02.030.010|- excavation and disposal
1.02.030.020|- lateral supports
1.02.030.030|- bottom slabs and blinding
1.02.030.040|- sides
1.02.030.050|- vertical waterproof tanking, drainage blanket, drains and skin wall
1.02.030.060|- horizontal waterproof tanking, drainage blanket, drains and topping slab
1.02.030.070|- insulation
1.02.030.080|- lift pits, sump pits, sleeves
1.03|Structure
1.03.010|Structural removal and alterations
1.03.020|Basement suspended floors (up to top of ground floor slabs):
1.03.020.010|- structural walls and columns
1.03.020.020|- beams and slabs
1.03.020.030|- staircases
1.03.030|Frames and slabs (above top of ground floor slabs):
1.03.030.010|- structural walls and columns
1.03.030.020|- upper floor beams and slabs
1.03.030.030|- roof beams and slabs
1.03.030.040|- staircases
1.03.030.050|- fireproofing to steel structure
1.03.040|Tanks, pools, sundries
1.04|Architectural works | Non-structural works
1.04.010|Non-structural removal and alterations
1.04.020|External elevations:
1.04.020.010|- non-structural external walls and features
1.04.020.020|- external wall finishes except cladding
1.04.020.030|- facade cladding and curtain walls
1.04.020.040|- external windows
1.04.020.050|- external doors
1.04.020.060|- external shop fronts
1.04.020.070|- roller shutters and fire shutters
1.04.030|Roof finishes, skylights and landscaping (including waterproofing and insulation):
1.04.030.010|- roof finishes
1.04.030.020|- skylights
1.04.030.030|- other roof features
1.04.030.040|- roof landscaping (hard and soft)
1.04.040|Internal divisions:
1.04.040.010|- non-structural internal walls and partitions
1.04.040.020|- shop fronts
1.04.040.030|- toilet cubicles
1.04.040.040|- moveable partitions
1.04.040.050|- cold rooms
1.04.040.060|- internal doors
1.04.040.070|- internal windows
1.04.040.080|- roller shutters and fire shutters
1.04.040.090|- sundry concrete work
1.04.050|Fittings and sundries:
