Date,Open,High,Low,Close,Volume
2017-01-09,62.76,63.08,62.54,62.64,20382730
2017-01-10,62.73,63.07,62.28,62.62,18593004
2017-01-11,62.61,63.23,62.43,63.19,21517335
2017-01-12,63.06,63.4,61.95,62.61,20968223
2017-01-13,62.62,62.86,62.35,62.7,19422310
2017-01-17,62.68,62.7,62.03,62.53,20663983
2017-01-18,62.67,62.7,62.12,62.5,19670102
2017-01-19,62.24,62.98,62.2,62.3,18451655
2017-01-20,62.67,62.82,62.37,62.74,30213462
2017-01-23,62.7,63.12,62.57,62.96,23097581
2017-01-24,63.2,63.74,62.94,63.52,24672940
2017-01-25,63.95,64.1,63.45,63.68,24654933
2017-01-26,64.12,64.54,63.55,64.27,43554645
2017-01-27,65.39,65.91,64.89,65.78,44817972
2017-01-30,65.69,65.79,64.8,65.13,31651445
2017-01-31,64.86,65.15,64.26,64.65,25270549
2017-02-01,64.36,64.62,63.47,63.58,39671528
2017-02-02,63.25,63.41,62.75,63.17,45827013
2017-02-03,63.5,63.7,63.07,63.68,30301759
2017-02-06,63.5,63.65,63.14,63.64,19796360
2017-02-07,63.74,63.78,63.23,63.43,20277226
2017-02-08,63.57,63.81,63.22,63.34,18096358
2017-02-09,63.52,64.44,63.32,64.06,22644443
2017-02-10,64.25,64.3,63.98,64.0,18170729
2017-02-13,64.24,64.86,64.13,64.72,22920101
2017-02-14,64.41,64.72,64.02,64.57,23108426
2017-02-15,64.5,64.57,64.16,64.53,17005157
2017-02-16,64.74,65.24,64.44,64.52,20546345
2017-02-17,64.47,64.69,64.3,64.62,21248818
2017-02-21,64.61,64.95,64.45,64.49,20655869
2017-02-22,64.33,64.39,64.05,64.36,19292651
2017-02-23,64.42,64.73,64.2,64.62,20273128
2017-02-24,64.53,64.8,64.14,64.62,21796800
2017-02-27,64.54,64.54,64.04,64.23,15871507
2017-02-28,64.08,64.2,63.76,63.98,23239825
2017-03-01,64.13,64.99,64.02,64.94,26937459
2017-03-02,64.69,64.75,63.88,64.01,24539597
2017-03-03,63.99,64.28,63.62,64.25,18139405
2017-03-06,63.97,64.56,63.81,64.27,18750255
2017-03-07,64.19,64.78,64.19,64.4,18520987
2017-03-08,64.26,65.08,64.25,64.99,21510907
2017-03-09,65.19,65.2,64.48,64.73,19846832
2017-03-10,65.11,65.26,64.75,64.93,19538245
2017-03-13,65.01,65.2,64.57,64.71,20100035
2017-03-14,64.53,64.55,64.15,64.41,14280202
2017-03-15,64.55,64.92,64.25,64.75,24833810
2017-03-16,64.75,64.76,64.3,64.64,20674296
2017-03-17,64.91,65.24,64.68,64.87,49219686
2017-03-20,64.91,65.18,64.72,64.93,14598083
2017-03-21,65.19,65.5,64.13,64.21,26640480
2017-03-22,64.12,65.14,64.12,65.03,20680015
2017-03-23,64.94,65.24,64.76,64.87,19269203
2017-03-24,65.36,65.45,64.76,64.98,22617105
2017-03-27,64.63,65.22,64.35,65.1,18614662
2017-03-28,64.96,65.47,64.65,65.29,20080358
2017-03-29,65.12,65.5,64.95,65.47,13618424
2017-03-30,65.42,65.98,65.36,65.71,15122823
2017-03-31,65.65,66.19,65.45,65.86,21040331
2017-04-03,65.81,65.94,65.19,65.55,20400871
2017-04-04,65.39,65.81,65.28,65.73,12997449
2017-04-05,66.3,66.35,65.44,65.56,21448594
2017-04-06,65.6,66.06,65.48,65.73,18103453
2017-04-07,65.85,65.96,65.44,65.68,14108533
2017-04-10,65.61,65.82,65.36,65.53,17952742
2017-04-11,65.6,65.61,64.85,65.48,18791533
2017-04-12,65.42,65.51,65.11,65.23,17108513
2017-04-13,65.29,65.86,64.95,64.95,17896483
2017-04-17,65.04,65.49,65.01,65.48,16689265
2017-04-18,65.33,65.71,65.16,65.39,15155611
2017-04-19,65.65,65.75,64.89,65.04,26992771
2017-04-20,65.46,65.75,65.14,65.5,22299477
2017-04-21,65.67,66.7,65.45,66.4,32522645
2017-04-24,67.48,67.66,67.1,67.53,29769976
2017-04-25,67.9,68.04,67.6,67.92,30242730
2017-04-26,68.08,68.31,67.62,67.83,26190770
2017-04-27,68.15,68.38,67.58,68.27,34970953
2017-04-28,68.91,69.14,67.69,68.46,39548818
2017-05-01,68.68,69.55,68.5,69.41,31954362
2017-05-02,69.71,69.71,69.13,69.3,23906119
2017-05-03,69.38,69.38,68.71,69.08,28927973
2017-05-04,69.03,69.08,68.64,68.81,21749409
2017-05-05,68.9,69.03,68.48,69.0,19128782
2017-05-08,68.97,69.05,68.42,68.94,18566087
2017-05-09,68.86,69.28,68.68,69.04,22858414
2017-05-10,68.99,69.56,68.92,69.31,17977830
2017-05-11,68.36,68.73,68.12,68.46,28789413
2017-05-12,68.61,68.61,68.04,68.38,18714123
2017-05-15,68.14,68.48,67.57,68.43,31530301
2017-05-16,68.23,69.44,68.16,69.41,34956038
2017-05-17,68.89,69.1,67.43,67.48,30548781
2017-05-18,67.4,68.13,67.14,67.71,25201274
2017-05-19,67.5,68.1,67.43,67.69,26961119
2017-05-22,67.89,68.5,67.5,68.45,16237550
2017-05-23,68.72,68.75,68.38,68.68,15425824
2017-05-24,68.87,68.88,68.45,68.77,14666865
2017-05-25,68.97,69.88,68.91,69.62,21854095
2017-05-26,69.8,70.22,69.52,69.96,19827923
2017-05-30,69.79,70.41,69.77,70.41,17072838
2017-05-31,70.53,70.74,69.81,69.84,30436364
2017-06-01,70.24,70.61,69.45,70.1,21603601
2017-06-02,70.44,71.86,70.24,71.76,34770261
2017-06-05,71.97,72.89,71.81,72.28,33316760
2017-06-06,72.3,72.62,72.27,72.52,31511065
2017-06-07,72.64,72.77,71.95,72.39,22301765
